total_purchases,avg_cart_value,total_time_spent,product_click,discount_counts,customer_id
7.0,129.34,52.17,18.0,0.0,CM00000
22.0,24.18,9.19,15.0,7.0,CM00001
2.0,32.18,90.69,50.0,2.0,CM00002
25.0,26.85,11.22,16.0,10.0,CM00003
7.0,125.45,34.19,30.0,3.0,CM00004
12.0,199.56,43.39,20.0,3.0,CM00005
23.0,43.48,13.11,12.0,10.0,CM00006
27.0,46.58,7.2,14.0,7.0,CM00007
9.0,35.1,9.24,25.0,8.0,CM00008
30.0,40.69,16.34,21.0,8.0,CM00009
5.0,62.6,77.2,49.0,2.0,CM00010
6.0,60.77,78.66,53.0,4.0,CM00011
13.0,105.96,40.82,21.0,6.0,CM00012
21.0,26.34,14.85,14.0,7.0,CM00013
13.0,100.0,28.4,20.0,2.0,CM00014
15.0,101.29,51.21,21.0,2.0,CM00015
28.0,21.48,5.64,9.0,5.0,CM00016
15.0,48.23,5.76,19.0,11.0,CM00017
9.0,167.25,42.02,23.0,2.0,CM00018
24.0,42.0,22.01,17.0,9.0,CM00019
4.0,37.21,97.61,50.0,3.0,CM00020
25.0,23.37,25.43,10.0,9.0,CM00021
22.0,20.49,13.49,16.0,6.0,CM00022
5.0,53.25,118.66,43.0,0.0,CM00023
6.0,55.45,85.37,46.0,0.0,CM00024
9.0,167.57,50.32,21.0,2.0,CM00025
6.0,29.86,65.17,54.0,0.0,CM00026
5.0,196.93,51.28,22.0,3.0,CM00027
3.0,71.22,76.43,54.0,2.0,CM00028
9.0,180.97,41.96,13.0,4.0,CM00029
7.0,177.98,42.14,23.0,1.0,CM00030
10.0,159.86,51.02,17.0,0.0,CM00031
17.0,13.66,22.08,11.0,9.0,CM00032
13.0,145.42,36.43,13.0,2.0,CM00033
3.0,54.62,89.83,51.0,1.0,CM00034
22.0,46.98,26.84,17.0,9.0,CM00035
12.0,117.71,47.02,9.0,3.0,CM00036
7.0,73.25,115.03,63.0,0.0,CM00037
12.0,187.29,52.41,20.0,3.0,CM00038
24.0,29.22,23.46,21.0,11.0,CM00039
16.0,45.23,10.94,12.0,12.0,CM00040
6.0,55.15,60.26,49.0,1.0,CM00041
5.0,38.11,99.57,54.0,0.0,CM00042
29.0,11.88,14.92,14.0,9.0,CM00043
22.0,11.48,20.79,16.0,16.0,CM00044
22.0,18.26,29.67,18.0,10.0,CM00045
6.0,119.62,42.21,21.0,1.0,CM00046
16.0,158.27,57.66,16.0,5.0,CM00047
6.0,49.86,80.43,58.0,2.0,CM00048
18.0,16.87,17.0,13.0,9.0,CM00049
8.0,37.37,87.37,37.0,1.0,CM00050
12.0,197.09,30.09,20.0,5.0,CM00051
4.0,51.23,73.65,58.0,0.0,CM00052
19.0,13.42,10.33,11.0,10.0,CM00053
4.0,45.09,115.76,45.0,0.0,CM00054
20.0,21.73,15.23,13.0,10.0,CM00055
8.0,102.57,27.23,30.0,1.0,CM00056
27.0,37.52,28.18,23.0,5.0,CM00057
4.0,65.22,94.53,51.0,1.0,CM00058
6.0,73.75,113.7,58.0,0.0,CM00059
2.0,36.53,93.26,50.0,0.0,CM00060
8.0,173.02,49.99,9.0,3.0,CM00061
22.0,45.44,17.87,14.0,5.0,CM00062
4.0,144.3,27.95,17.0,1.0,CM00063
7.0,35.9,79.72,61.0,0.0,CM00064
24.0,44.96,22.56,14.0,11.0,CM00065
17.0,26.35,22.08,16.0,9.0,CM00066
18.0,37.9,14.16,9.0,9.0,CM00067
25.0,43.4,5.29,10.0,10.0,CM00068
4.0,30.41,83.94,45.0,1.0,CM00069
25.0,27.63,29.34,18.0,8.0,CM00070
15.0,28.13,6.14,19.0,11.0,CM00071
14.0,42.63,16.09,14.0,12.0,CM00072
25.0,41.98,10.48,18.0,6.0,CM00073
8.0,154.89,44.4,18.0,1.0,CM00074
16.0,108.61,44.17,20.0,2.0,CM00075
6.0,70.91,98.69,50.0,1.0,CM00076
8.0,43.91,107.52,56.0,1.0,CM00077
3.0,64.42,69.85,43.0,0.0,CM00078
9.0,142.64,22.91,20.0,1.0,CM00079
9.0,106.2,50.08,19.0,2.0,CM00080
7.0,107.12,40.51,16.0,1.0,CM00081
10.0,194.59,36.11,22.0,3.0,CM00082
5.0,61.2,79.37,50.0,3.0,CM00083
12.0,109.66,31.53,15.0,1.0,CM00084
18.0,19.81,10.0,5.0,17.0,CM00085
10.0,143.28,32.48,15.0,1.0,CM00086
25.0,29.58,26.71,24.0,10.0,CM00087
25.0,25.33,5.83,17.0,9.0,CM00088
21.0,33.72,25.95,17.0,12.0,CM00089
10.0,52.48,93.93,41.0,0.0,CM00090
3.0,59.02,84.11,32.0,4.0,CM00091
8.0,151.63,39.02,19.0,1.0,CM00092
18.0,44.74,8.13,11.0,12.0,CM00093
19.0,38.33,5.14,16.0,12.0,CM00094
4.0,20.57,69.45,59.0,1.0,CM00095
22.0,48.01,22.98,12.0,12.0,CM00096
,,117.04,,0.0,CM00097
14.0,194.9,44.85,13.0,2.0,CM00098
19.0,16.21,8.25,11.0,12.0,CM00099
21.0,16.65,8.32,17.0,5.0,CM00100
2.0,44.68,68.68,47.0,0.0,CM00101
15.0,14.26,21.09,13.0,8.0,CM00102
24.0,36.72,11.86,20.0,9.0,CM00103
14.0,188.33,37.1,26.0,1.0,CM00104
19.0,162.57,34.77,15.0,1.0,CM00105
4.0,30.23,89.63,47.0,2.0,CM00106
11.0,124.03,36.76,19.0,0.0,CM00107
5.0,26.23,80.28,42.0,1.0,CM00108
28.0,20.39,19.5,12.0,13.0,CM00109
3.0,68.64,103.49,49.0,2.0,CM00110
22.0,41.18,17.89,20.0,7.0,CM00111
21.0,13.01,18.16,14.0,8.0,CM00112
7.0,147.85,23.26,22.0,2.0,CM00113
15.0,160.09,51.97,21.0,1.0,CM00114
4.0,63.12,98.92,45.0,2.0,CM00115
11.0,153.19,49.38,31.0,2.0,CM00116
22.0,10.74,12.29,19.0,9.0,CM00117
5.0,79.52,99.66,47.0,1.0,CM00118
12.0,194.6,53.76,24.0,3.0,CM00119
16.0,16.43,16.59,11.0,13.0,CM00120
8.0,24.34,115.96,55.0,2.0,CM00121
5.0,49.88,69.92,54.0,1.0,CM00122
9.0,31.28,89.1,58.0,2.0,CM00123
5.0,69.69,118.83,50.0,0.0,CM00124
5.0,55.62,76.35,45.0,1.0,CM00125
8.0,24.07,78.98,59.0,1.0,CM00126
7.0,154.81,31.22,11.0,0.0,CM00127
9.0,190.24,34.52,21.0,3.0,CM00128
14.0,49.65,17.68,19.0,12.0,CM00129
3.0,140.07,40.18,19.0,1.0,CM00130
10.0,106.94,59.13,17.0,2.0,CM00131
6.0,52.52,64.51,55.0,1.0,CM00132
3.0,76.86,108.67,48.0,0.0,CM00133
5.0,48.22,86.63,56.0,1.0,CM00134
8.0,132.35,56.28,18.0,0.0,CM00135
27.0,10.52,10.75,15.0,9.0,CM00136
14.0,20.38,24.41,9.0,8.0,CM00137
4.0,37.01,91.17,43.0,0.0,CM00138
,,33.76,,3.0,CM00139
28.0,17.26,14.21,18.0,9.0,CM00140
17.0,45.85,27.35,16.0,11.0,CM00141
1.0,61.39,103.71,51.0,2.0,CM00142
18.0,46.69,17.45,18.0,4.0,CM00143
20.0,20.89,13.42,6.0,8.0,CM00144
15.0,155.47,30.82,19.0,1.0,CM00145
8.0,71.67,98.61,52.0,2.0,CM00146
13.0,144.41,31.43,20.0,4.0,CM00147
22.0,35.99,29.67,19.0,9.0,CM00148
5.0,62.85,96.57,57.0,0.0,CM00149
8.0,185.0,32.26,17.0,3.0,CM00150
11.0,131.52,40.86,12.0,3.0,CM00151
26.0,13.31,22.24,10.0,11.0,CM00152
5.0,53.37,77.48,42.0,1.0,CM00153
27.0,26.86,16.83,22.0,15.0,CM00154
27.0,37.9,23.13,16.0,18.0,CM00155
4.0,43.59,105.33,39.0,0.0,CM00156
10.0,135.47,28.27,16.0,3.0,CM00157
20.0,47.79,8.05,19.0,12.0,CM00158
8.0,166.65,25.53,12.0,2.0,CM00159
5.0,60.09,99.45,51.0,0.0,CM00160
13.0,181.37,51.34,23.0,0.0,CM00161
6.0,39.65,85.98,43.0,0.0,CM00162
3.0,46.89,114.76,51.0,0.0,CM00163
5.0,65.82,76.11,44.0,1.0,CM00164
10.0,109.8,22.19,20.0,1.0,CM00165
12.0,106.14,27.95,16.0,1.0,CM00166
4.0,72.83,80.42,49.0,2.0,CM00167
18.0,44.87,14.33,15.0,9.0,CM00168
7.0,158.56,23.51,20.0,3.0,CM00169
15.0,137.78,50.63,17.0,4.0,CM00170
21.0,30.98,26.79,13.0,6.0,CM00171
30.0,29.82,7.04,10.0,10.0,CM00172
7.0,172.89,38.87,32.0,5.0,CM00173
15.0,18.81,29.43,9.0,21.0,CM00174
8.0,141.08,21.56,23.0,0.0,CM00175
21.0,32.63,25.2,17.0,7.0,CM00176
13.0,164.82,30.77,18.0,3.0,CM00177
5.0,33.67,101.79,33.0,1.0,CM00178
16.0,20.68,24.06,20.0,8.0,CM00179
3.0,33.29,90.84,43.0,0.0,CM00180
28.0,13.48,21.47,29.0,17.0,CM00181
21.0,18.88,9.09,16.0,9.0,CM00182
4.0,59.32,70.28,43.0,1.0,CM00183
27.0,47.71,8.71,10.0,9.0,CM00184
17.0,26.38,8.28,16.0,13.0,CM00185
14.0,16.25,11.84,18.0,15.0,CM00186
3.0,50.27,104.14,56.0,2.0,CM00187
7.0,176.65,40.0,24.0,2.0,CM00188
13.0,140.54,48.7,12.0,2.0,CM00189
8.0,161.36,38.34,12.0,3.0,CM00190
15.0,34.02,5.24,10.0,3.0,CM00191
18.0,23.67,9.89,9.0,6.0,CM00192
14.0,164.18,27.6,28.0,3.0,CM00193
5.0,72.58,73.91,53.0,1.0,CM00194
5.0,144.26,24.5,17.0,3.0,CM00195
27.0,41.45,6.43,12.0,13.0,CM00196
23.0,41.02,20.52,12.0,8.0,CM00197
29.0,37.12,21.69,16.0,12.0,CM00198
13.0,123.37,20.55,20.0,3.0,CM00199
18.0,47.01,29.69,17.0,4.0,CM00200
8.0,77.02,74.75,46.0,0.0,CM00201
5.0,171.21,49.69,18.0,3.0,CM00202
18.0,13.08,27.73,19.0,9.0,CM00203
3.0,39.74,114.54,47.0,1.0,CM00204
10.0,125.23,26.15,21.0,4.0,CM00205
12.0,109.44,39.35,21.0,0.0,CM00206
3.0,22.14,90.9,51.0,1.0,CM00207
8.0,158.66,33.15,19.0,0.0,CM00208
7.0,150.0,37.19,15.0,1.0,CM00209
3.0,48.25,68.04,60.0,1.0,CM00210
10.0,128.03,53.15,21.0,4.0,CM00211
,,42.7,,0.0,CM00212
11.0,184.22,49.69,14.0,2.0,CM00213
5.0,23.24,107.05,55.0,0.0,CM00214
18.0,21.88,5.79,13.0,9.0,CM00215
12.0,120.23,43.81,23.0,2.0,CM00216
9.0,104.03,22.15,11.0,4.0,CM00217
15.0,34.31,29.13,10.0,14.0,CM00218
3.0,74.57,96.94,64.0,3.0,CM00219
11.0,160.44,37.63,22.0,1.0,CM00220
4.0,36.2,72.94,55.0,2.0,CM00221
9.0,135.66,21.01,24.0,2.0,CM00222
8.0,27.63,67.57,38.0,2.0,CM00223
12.0,50.69,111.24,43.0,0.0,CM00224
10.0,163.24,27.85,25.0,0.0,CM00225
22.0,13.66,21.47,15.0,9.0,CM00226
23.0,35.3,5.19,14.0,7.0,CM00227
16.0,33.29,17.15,21.0,9.0,CM00228
21.0,41.19,24.12,16.0,16.0,CM00229
23.0,31.58,17.31,11.0,11.0,CM00230
12.0,107.93,57.8,26.0,3.0,CM00231
16.0,18.82,26.7,26.0,6.0,CM00232
6.0,131.58,25.53,17.0,2.0,CM00233
5.0,175.35,43.88,15.0,3.0,CM00234
15.0,195.79,25.57,23.0,4.0,CM00235
18.0,44.95,17.99,22.0,13.0,CM00236
15.0,159.35,26.35,15.0,2.0,CM00237
7.0,54.4,81.83,41.0,1.0,CM00238
7.0,27.37,117.7,42.0,0.0,CM00239
12.0,105.46,46.84,19.0,3.0,CM00240
4.0,195.46,50.05,24.0,3.0,CM00241
2.0,28.16,97.8,63.0,1.0,CM00242
6.0,43.49,98.28,51.0,2.0,CM00243
20.0,17.46,16.37,17.0,8.0,CM00244
4.0,35.83,82.92,46.0,1.0,CM00245
3.0,58.11,111.66,52.0,1.0,CM00246
11.0,163.78,45.98,23.0,0.0,CM00247
17.0,22.75,26.77,10.0,11.0,CM00248
27.0,46.0,20.45,9.0,8.0,CM00249
5.0,187.8,59.83,21.0,2.0,CM00250
7.0,167.64,36.63,24.0,1.0,CM00251
11.0,133.14,29.56,27.0,0.0,CM00252
,,21.28,,12.0,CM00253
7.0,47.47,22.73,12.0,7.0,CM00254
20.0,33.61,26.12,18.0,10.0,CM00255
3.0,49.74,62.45,41.0,0.0,CM00256
2.0,63.47,73.21,51.0,2.0,CM00257
13.0,10.44,8.56,15.0,6.0,CM00258
23.0,34.13,25.01,15.0,12.0,CM00259
11.0,43.78,27.81,14.0,12.0,CM00260
4.0,76.83,86.16,66.0,1.0,CM00261
2.0,29.35,72.22,63.0,1.0,CM00262
8.0,111.82,42.81,26.0,4.0,CM00263
24.0,37.85,9.49,16.0,10.0,CM00264
13.0,183.15,36.74,18.0,2.0,CM00265
27.0,24.03,29.25,4.0,11.0,CM00266
10.0,158.45,32.14,19.0,5.0,CM00267
18.0,31.65,28.89,12.0,7.0,CM00268
14.0,18.6,22.85,16.0,7.0,CM00269
3.0,60.45,115.48,47.0,1.0,CM00270
9.0,152.55,54.66,9.0,3.0,CM00271
7.0,55.13,62.33,37.0,1.0,CM00272
23.0,34.68,13.53,9.0,8.0,CM00273
11.0,163.37,25.32,18.0,2.0,CM00274
18.0,36.88,22.34,16.0,9.0,CM00275
9.0,112.43,49.68,20.0,1.0,CM00276
6.0,55.37,80.89,48.0,2.0,CM00277
16.0,110.34,43.02,14.0,0.0,CM00278
13.0,195.05,27.57,31.0,2.0,CM00279
6.0,44.64,117.6,52.0,2.0,CM00280
7.0,66.88,90.34,37.0,3.0,CM00281
6.0,69.7,87.26,47.0,1.0,CM00282
12.0,190.03,47.68,15.0,1.0,CM00283
2.0,62.42,115.92,48.0,2.0,CM00284
11.0,182.05,55.46,21.0,2.0,CM00285
10.0,195.98,56.83,21.0,1.0,CM00286
1.0,31.79,79.76,44.0,2.0,CM00287
21.0,33.9,18.99,9.0,12.0,CM00288
20.0,105.12,36.89,24.0,4.0,CM00289
7.0,172.21,26.75,17.0,6.0,CM00290
5.0,38.53,88.54,45.0,0.0,CM00291
7.0,52.25,63.87,51.0,0.0,CM00292
7.0,25.46,108.63,46.0,1.0,CM00293
,,47.8,,2.0,CM00294
9.0,164.1,48.81,25.0,4.0,CM00295
9.0,117.46,34.0,17.0,3.0,CM00296
10.0,27.45,28.02,16.0,13.0,CM00297
11.0,121.79,47.02,18.0,1.0,CM00298
13.0,138.21,24.42,17.0,4.0,CM00299
2.0,72.91,79.32,38.0,3.0,CM00300
2.0,77.77,85.53,57.0,1.0,CM00301
26.0,20.89,20.0,17.0,7.0,CM00302
7.0,77.5,94.62,48.0,0.0,CM00303
7.0,51.39,112.33,53.0,1.0,CM00304
11.0,140.15,35.07,19.0,1.0,CM00305
16.0,15.6,7.93,8.0,12.0,CM00306
5.0,60.28,90.79,52.0,1.0,CM00307
16.0,158.17,58.25,18.0,4.0,CM00308
2.0,50.99,105.8,57.0,2.0,CM00309
,,82.11,,0.0,CM00310
5.0,61.21,87.03,45.0,1.0,CM00311
23.0,49.51,23.57,13.0,6.0,CM00312
6.0,105.7,28.56,19.0,4.0,CM00313
3.0,68.54,94.28,55.0,0.0,CM00314
12.0,27.84,10.71,17.0,16.0,CM00315
2.0,48.85,93.13,48.0,2.0,CM00316
,,55.19,,0.0,CM00317
6.0,74.66,78.21,51.0,2.0,CM00318
4.0,44.77,60.68,47.0,0.0,CM00319
14.0,14.1,27.45,18.0,12.0,CM00320
4.0,34.24,66.45,48.0,0.0,CM00321
5.0,63.41,118.56,64.0,1.0,CM00322
24.0,29.85,27.37,16.0,12.0,CM00323
17.0,32.39,23.74,11.0,12.0,CM00324
5.0,43.31,111.55,42.0,1.0,CM00325
23.0,31.67,11.72,13.0,5.0,CM00326
5.0,32.21,75.13,55.0,0.0,CM00327
11.0,12.61,9.52,12.0,13.0,CM00328
17.0,10.85,29.24,7.0,9.0,CM00329
7.0,141.48,45.81,20.0,2.0,CM00330
6.0,154.13,28.79,20.0,1.0,CM00331
19.0,29.04,6.3,11.0,9.0,CM00332
6.0,75.14,116.6,57.0,2.0,CM00333
3.0,74.88,79.18,46.0,0.0,CM00334
7.0,37.35,104.18,47.0,0.0,CM00335
16.0,15.15,20.09,15.0,9.0,CM00336
4.0,22.95,61.91,39.0,0.0,CM00337
24.0,18.95,9.43,13.0,4.0,CM00338
11.0,148.96,35.67,35.0,2.0,CM00339
5.0,38.8,78.9,54.0,5.0,CM00340
6.0,46.93,109.08,48.0,2.0,CM00341
6.0,44.89,97.04,51.0,0.0,CM00342
21.0,11.08,16.28,16.0,8.0,CM00343
21.0,20.62,20.45,12.0,8.0,CM00344
7.0,195.67,54.46,19.0,1.0,CM00345
3.0,151.17,27.83,17.0,1.0,CM00346
9.0,108.99,27.24,18.0,4.0,CM00347
9.0,141.41,35.72,23.0,1.0,CM00348
18.0,14.82,22.9,9.0,12.0,CM00349
30.0,19.55,22.67,11.0,8.0,CM00350
8.0,130.57,23.66,21.0,0.0,CM00351
4.0,36.46,106.83,51.0,1.0,CM00352
,,45.26,,1.0,CM00353
3.0,63.22,109.23,64.0,2.0,CM00354
5.0,68.49,75.21,53.0,1.0,CM00355
1.0,44.21,102.59,43.0,0.0,CM00356
16.0,198.25,40.44,17.0,3.0,CM00357
5.0,71.94,73.7,44.0,0.0,CM00358
22.0,28.7,16.3,11.0,15.0,CM00359
14.0,37.19,10.15,11.0,17.0,CM00360
7.0,193.47,59.06,21.0,2.0,CM00361
17.0,44.05,24.56,18.0,7.0,CM00362
5.0,65.77,91.62,43.0,0.0,CM00363
6.0,52.02,82.02,40.0,2.0,CM00364
18.0,18.73,7.8,10.0,8.0,CM00365
19.0,191.73,49.23,17.0,0.0,CM00366
6.0,182.01,46.76,20.0,2.0,CM00367
6.0,51.14,66.87,44.0,1.0,CM00368
11.0,178.35,54.34,19.0,1.0,CM00369
15.0,48.76,8.49,11.0,12.0,CM00370
22.0,11.02,16.15,13.0,9.0,CM00371
12.0,157.16,34.29,19.0,3.0,CM00372
4.0,35.12,87.86,56.0,1.0,CM00373
13.0,133.54,37.77,27.0,3.0,CM00374
22.0,39.13,23.29,23.0,6.0,CM00375
7.0,59.53,96.17,51.0,0.0,CM00376
10.0,159.57,52.1,17.0,3.0,CM00377
5.0,56.39,95.79,43.0,1.0,CM00378
14.0,157.69,28.99,15.0,2.0,CM00379
15.0,42.26,22.01,16.0,11.0,CM00380
20.0,33.7,26.96,8.0,11.0,CM00381
14.0,25.89,14.94,12.0,10.0,CM00382
12.0,176.37,55.2,21.0,3.0,CM00383
17.0,48.84,27.52,12.0,16.0,CM00384
15.0,134.27,34.22,18.0,0.0,CM00385
7.0,74.43,95.62,47.0,0.0,CM00386
7.0,113.46,46.77,17.0,1.0,CM00387
8.0,100.42,29.31,17.0,3.0,CM00388
10.0,111.51,32.49,19.0,2.0,CM00389
8.0,45.1,100.06,50.0,1.0,CM00390
5.0,158.56,36.01,21.0,1.0,CM00391
23.0,19.2,8.29,17.0,8.0,CM00392
13.0,118.53,36.75,17.0,0.0,CM00393
9.0,150.03,36.39,26.0,3.0,CM00394
13.0,42.38,22.24,9.0,7.0,CM00395
5.0,71.47,79.55,50.0,0.0,CM00396
6.0,44.34,101.89,50.0,0.0,CM00397
5.0,69.63,64.78,59.0,0.0,CM00398
20.0,48.52,5.46,16.0,9.0,CM00399
7.0,78.92,61.83,37.0,1.0,CM00400
9.0,169.78,22.38,18.0,2.0,CM00401
8.0,168.93,20.81,20.0,2.0,CM00402
16.0,18.32,5.78,11.0,11.0,CM00403
6.0,112.83,20.9,18.0,3.0,CM00404
5.0,24.8,113.2,57.0,0.0,CM00405
10.0,133.93,58.63,22.0,2.0,CM00406
5.0,55.17,92.65,47.0,2.0,CM00407
11.0,183.91,36.76,18.0,5.0,CM00408
,,22.95,,10.0,CM00409
32.0,20.72,24.03,12.0,11.0,CM00410
18.0,43.16,20.57,9.0,10.0,CM00411
21.0,19.32,19.82,16.0,2.0,CM00412
24.0,28.97,11.92,7.0,10.0,CM00413
13.0,163.15,57.68,18.0,4.0,CM00414
6.0,59.5,91.06,34.0,3.0,CM00415
15.0,45.15,24.95,15.0,4.0,CM00416
11.0,130.78,55.45,20.0,4.0,CM00417
9.0,59.55,65.69,54.0,2.0,CM00418
7.0,117.72,54.92,14.0,1.0,CM00419
13.0,138.32,55.17,25.0,1.0,CM00420
4.0,40.87,83.62,54.0,0.0,CM00421
21.0,20.83,17.22,24.0,9.0,CM00422
9.0,77.47,118.79,55.0,0.0,CM00423
14.0,23.91,13.18,20.0,7.0,CM00424
,,28.41,,7.0,CM00425
10.0,116.19,25.23,20.0,2.0,CM00426
11.0,104.41,28.17,16.0,8.0,CM00427
22.0,27.01,17.29,14.0,12.0,CM00428
13.0,45.78,15.76,16.0,13.0,CM00429
5.0,70.84,109.68,56.0,0.0,CM00430
13.0,37.69,5.77,16.0,9.0,CM00431
8.0,44.48,83.36,44.0,1.0,CM00432
3.0,21.18,102.13,56.0,4.0,CM00433
19.0,143.99,48.38,21.0,4.0,CM00434
27.0,21.78,20.42,22.0,7.0,CM00435
6.0,144.18,30.0,21.0,1.0,CM00436
5.0,35.76,110.77,56.0,1.0,CM00437
16.0,47.28,21.19,10.0,6.0,CM00438
10.0,42.76,26.79,19.0,6.0,CM00439
20.0,34.97,20.66,9.0,8.0,CM00440
8.0,102.79,39.0,21.0,2.0,CM00441
21.0,18.98,26.7,17.0,8.0,CM00442
6.0,159.94,54.64,19.0,3.0,CM00443
6.0,127.2,25.41,17.0,3.0,CM00444
20.0,37.79,29.4,11.0,13.0,CM00445
14.0,49.51,25.14,17.0,11.0,CM00446
10.0,135.31,47.17,23.0,3.0,CM00447
14.0,18.85,23.18,13.0,12.0,CM00448
16.0,42.7,9.64,15.0,6.0,CM00449
3.0,33.38,112.29,60.0,1.0,CM00450
2.0,79.59,111.84,55.0,3.0,CM00451
8.0,156.39,35.97,27.0,0.0,CM00452
26.0,13.98,8.78,12.0,8.0,CM00453
13.0,31.48,22.32,17.0,5.0,CM00454
5.0,21.14,107.88,44.0,2.0,CM00455
5.0,23.6,94.69,56.0,1.0,CM00456
15.0,32.03,10.39,15.0,8.0,CM00457
7.0,191.13,30.25,18.0,2.0,CM00458
4.0,25.47,105.29,39.0,0.0,CM00459
5.0,37.05,106.49,32.0,2.0,CM00460
7.0,28.58,87.66,43.0,2.0,CM00461
7.0,105.04,54.97,27.0,1.0,CM00462
13.0,182.84,46.49,13.0,4.0,CM00463
8.0,104.87,33.8,21.0,4.0,CM00464
11.0,155.65,29.24,21.0,1.0,CM00465
9.0,114.35,40.42,17.0,2.0,CM00466
13.0,36.35,6.8,13.0,13.0,CM00467
7.0,27.41,88.19,49.0,0.0,CM00468
2.0,45.91,104.45,51.0,1.0,CM00469
22.0,20.75,19.55,25.0,14.0,CM00470
17.0,15.48,17.47,25.0,8.0,CM00471
26.0,38.76,22.66,13.0,17.0,CM00472
4.0,21.74,103.25,51.0,1.0,CM00473
10.0,192.89,29.48,26.0,3.0,CM00474
6.0,58.42,83.4,46.0,0.0,CM00475
20.0,46.62,19.47,16.0,9.0,CM00476
19.0,44.99,11.45,12.0,10.0,CM00477
3.0,58.89,101.38,42.0,1.0,CM00478
13.0,108.51,49.4,27.0,4.0,CM00479
10.0,146.53,27.16,16.0,1.0,CM00480
8.0,139.63,40.02,16.0,3.0,CM00481
11.0,148.33,52.81,25.0,2.0,CM00482
20.0,21.85,23.41,15.0,8.0,CM00483
15.0,33.61,9.55,10.0,14.0,CM00484
22.0,34.74,22.39,24.0,8.0,CM00485
8.0,129.66,26.71,25.0,2.0,CM00486
22.0,47.77,15.54,15.0,13.0,CM00487
13.0,165.81,46.87,22.0,1.0,CM00488
2.0,52.17,103.23,47.0,0.0,CM00489
21.0,12.71,6.51,17.0,7.0,CM00490
7.0,59.28,84.43,43.0,1.0,CM00491
3.0,49.51,89.27,55.0,0.0,CM00492
24.0,21.55,7.61,8.0,13.0,CM00493
6.0,55.05,76.25,39.0,0.0,CM00494
10.0,175.63,32.5,21.0,3.0,CM00495
20.0,38.94,21.45,19.0,11.0,CM00496
7.0,55.03,82.56,42.0,3.0,CM00497
